"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","PCs","score"
"1184","Stanley Johnson","NOP","F",FALSE,TRUE,FALSE,66,18.3,1.6,48.4,0.9,28.8,0.8,78.1,5.3,41,42.7,2.8,-0.9,1.4,3.3,0.9,0.9,1.3,0.2,0.5,2.8,"others2",0.8048868
"1185","Stephen Curry","GSW","G",FALSE,FALSE,TRUE,69,33.8,4,53.1,5,43.2,3.8,91.6,9,56.5,20.5,4.7,0.6,2.4,5.2,1.5,1.3,5.2,0.4,0.7,4.7,"shooting1",3.634594
"1186","Stephen Curry","GSW","G",FALSE,FALSE,TRUE,69,33.8,4,53.1,5,43.2,3.8,91.6,9,56.5,20.5,4.7,0.6,2.4,5.2,1.5,1.3,5.2,0.4,0.7,4.7,"shooting2",3.468596
"1187","Stephen Curry","GSW","G",FALSE,FALSE,TRUE,69,33.8,4,53.1,5,43.2,3.8,91.6,9,56.5,20.5,4.7,0.6,2.4,5.2,1.5,1.3,5.2,0.4,0.7,4.7,"others1",-2.373382
"1188","Stephen Curry","GSW","G",FALSE,FALSE,TRUE,69,33.8,4,53.1,5,43.2,3.8,91.6,9,56.5,20.5,4.7,0.6,2.4,5.2,1.5,1.3,5.2,0.4,0.7,4.7,"others2",2.406929
"1189","Sterling Brown","MIL","G",FALSE,FALSE,TRUE,58,17.8,1.6,55.8,0.9,36.1,0.5,69,3.8,42.7,45.7,3,3,1.3,3.7,0.8,0.4,1.4,0.1,0.5,2.7,"shooting1",0.007274205
"1190","Sterling Brown","MIL","G",FALSE,FALSE,TRUE,58,17.8,1.6,55.8,0.9,36.1,0.5,69,3.8,42.7,45.7,3,3,1.3,3.7,0.8,0.4,1.4,0.1,0.5,2.7,"shooting2",-1.139273
"1191","Sterling Brown","MIL","G",FALSE,FALSE,TRUE,58,17.8,1.6,55.8,0.9,36.1,0.5,69,3.8,42.7,45.7,3,3,1.3,3.7,0.8,0.4,1.4,0.1,0.5,2.7,"others1",1.47625
"1192","Sterling Brown","MIL","G",FALSE,FALSE,TRUE,58,17.8,1.6,55.8,0.9,36.1,0.5,69,3.8,42.7,45.7,3,3,1.3,3.7,0.8,0.4,1.4,0.1,0.5,2.7,"others2",0.5502423
"1193","Steven Adams","OKC","C",TRUE,FALSE,FALSE,80,33.4,6,59.6,0,0,1.8,50,2.7,0,84.1,8.6,-1.7,2.2,14.2,1.5,1.5,1.6,1,4.9,4.6,"shooting1",-5.21951
"1194","Steven Adams","OKC","C",TRUE,FALSE,FALSE,80,33.4,6,59.6,0,0,1.8,50,2.7,0,84.1,8.6,-1.7,2.2,14.2,1.5,1.5,1.6,1,4.9,4.6,"shooting2",-0.1112684
"1195","Steven Adams","OKC","C",TRUE,FALSE,FALSE,80,33.4,6,59.6,0,0,1.8,50,2.7,0,84.1,8.6,-1.7,2.2,14.2,1.5,1.5,1.6,1,4.9,4.6,"others1",-6.384401
"1196","Steven Adams","OKC","C",TRUE,FALSE,FALSE,80,33.4,6,59.6,0,0,1.8,50,2.7,0,84.1,8.6,-1.7,2.2,14.2,1.5,1.5,1.6,1,4.9,4.6,"others2",-2.312752
"1197","Svi Mykhailiuk","DET","G",FALSE,FALSE,TRUE,42,10.5,0.4,34,0.7,32.6,0.3,60,9,65.4,16.5,1.7,-2.9,0.6,2.7,0.3,0.3,0.9,0,0.2,0.6,"shooting1",2.165365
"1198","Svi Mykhailiuk","DET","G",FALSE,FALSE,TRUE,42,10.5,0.4,34,0.7,32.6,0.3,60,9,65.4,16.5,1.7,-2.9,0.6,2.7,0.3,0.3,0.9,0,0.2,0.6,"shooting2",-2.457465
"1199","Svi Mykhailiuk","DET","G",FALSE,FALSE,TRUE,42,10.5,0.4,34,0.7,32.6,0.3,60,9,65.4,16.5,1.7,-2.9,0.6,2.7,0.3,0.3,0.9,0,0.2,0.6,"others1",3.388821
"1200","Svi Mykhailiuk","DET","G",FALSE,FALSE,TRUE,42,10.5,0.4,34,0.7,32.6,0.3,60,9,65.4,16.5,1.7,-2.9,0.6,2.7,0.3,0.3,0.9,0,0.2,0.6,"others2",-0.2225822
"1201","T.J. McConnell","PHI","G",FALSE,FALSE,TRUE,76,19.3,2.7,55.1,0.2,32.6,0.4,78.4,29.8,8.7,55.5,3.6,1.2,1.9,3.4,0.8,1,3.4,0.2,0.4,1.9,"shooting1",-1.13082
"1202","T.J. McConnell","PHI","G",FALSE,FALSE,TRUE,76,19.3,2.7,55.1,0.2,32.6,0.4,78.4,29.8,8.7,55.5,3.6,1.2,1.9,3.4,0.8,1,3.4,0.2,0.4,1.9,"shooting2",0.1719428
"1203","T.J. McConnell","PHI","G",FALSE,FALSE,TRUE,76,19.3,2.7,55.1,0.2,32.6,0.4,78.4,29.8,8.7,55.5,3.6,1.2,1.9,3.4,0.8,1,3.4,0.2,0.4,1.9,"others1",0.4151356
"1204","T.J. McConnell","PHI","G",FALSE,FALSE,TRUE,76,19.3,2.7,55.1,0.2,32.6,0.4,78.4,29.8,8.7,55.5,3.6,1.2,1.9,3.4,0.8,1,3.4,0.2,0.4,1.9,"others2",1.7862
"1205","T.J. Warren","PHX","F",FALSE,TRUE,FALSE,43,31.6,5.1,51,1.8,42.8,2.3,81.5,9.3,29.9,47.7,4.7,6.1,2.1,5.6,1,1.2,1.5,0.7,0.7,3.3,"shooting1",0.3827846
"1206","T.J. Warren","PHX","F",FALSE,TRUE,FALSE,43,31.6,5.1,51,1.8,42.8,2.3,81.5,9.3,29.9,47.7,4.7,6.1,2.1,5.6,1,1.2,1.5,0.7,0.7,3.3,"shooting2",1.775103
"1207","T.J. Warren","PHX","F",FALSE,TRUE,FALSE,43,31.6,5.1,51,1.8,42.8,2.3,81.5,9.3,29.9,47.7,4.7,6.1,2.1,5.6,1,1.2,1.5,0.7,0.7,3.3,"others1",-1.058748
"1208","T.J. Warren","PHX","F",FALSE,TRUE,FALSE,43,31.6,5.1,51,1.8,42.8,2.3,81.5,9.3,29.9,47.7,4.7,6.1,2.1,5.6,1,1.2,1.5,0.7,0.7,3.3,"others2",1.108907
"1209","Taj Gibson","MIN","F",FALSE,TRUE,FALSE,70,24.1,4.2,58.1,0.2,32.4,1.9,75.7,7.7,4.4,70.1,5,1.4,1.2,8,1,0.8,1.2,0.6,2.5,4.1,"shooting1",-2.459536
"1210","Taj Gibson","MIN","F",FALSE,TRUE,FALSE,70,24.1,4.2,58.1,0.2,32.4,1.9,75.7,7.7,4.4,70.1,5,1.4,1.2,8,1,0.8,1.2,0.6,2.5,4.1,"shooting2",0.6702838
"1211","Taj Gibson","MIN","F",FALSE,TRUE,FALSE,70,24.1,4.2,58.1,0.2,32.4,1.9,75.7,7.7,4.4,70.1,5,1.4,1.2,8,1,0.8,1.2,0.6,2.5,4.1,"others1",-1.596263
"1212","Taj Gibson","MIN","F",FALSE,TRUE,FALSE,70,24.1,4.2,58.1,0.2,32.4,1.9,75.7,7.7,4.4,70.1,5,1.4,1.2,8,1,0.8,1.2,0.6,2.5,4.1,"others2",-1.271483
"1213","Taurean Prince","ATL","F",FALSE,TRUE,FALSE,55,28.2,2.5,49.8,2.2,39,1.7,81.9,8.4,49.7,29.1,4.2,2.8,2,4.8,0.9,1,2.1,0.3,0.4,3.2,"shooting1",1.855151
"1214","Taurean Prince","ATL","F",FALSE,TRUE,FALSE,55,28.2,2.5,49.8,2.2,39,1.7,81.9,8.4,49.7,29.1,4.2,2.8,2,4.8,0.9,1,2.1,0.3,0.4,3.2,"shooting2",0.5591963
"1215","Taurean Prince","ATL","F",FALSE,TRUE,FALSE,55,28.2,2.5,49.8,2.2,39,1.7,81.9,8.4,49.7,29.1,4.2,2.8,2,4.8,0.9,1,2.1,0.3,0.4,3.2,"others1",-0.2167813
"1216","Taurean Prince","ATL","F",FALSE,TRUE,FALSE,55,28.2,2.5,49.8,2.2,39,1.7,81.9,8.4,49.7,29.1,4.2,2.8,2,4.8,0.9,1,2.1,0.3,0.4,3.2,"others2",1.322546
"1217","Terrance Ferguson","OKC","G",FALSE,FALSE,TRUE,74,26.1,1.1,56.1,1.4,36.3,0.5,72.5,3.5,62,27.3,4.3,0.9,0.8,6.8,0.6,0.5,1,0.2,0.4,1.5,"shooting1",1.4268
