"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","shooting1","shooting2","others1","others2","extreme","label"
"189","Jerian Grant","ORL","G",FALSE,FALSE,TRUE,60,15.6,0.8,46.2,0.7,36.7,0.4,65,21.6,48,20,3.1,5.4,1.3,3.2,0.4,0.7,2.6,0.1,0.3,1.3,1.5445789234254,-1.32169332918531,1.92387965122479,1.23857757527755,FALSE,""
"190","Jerryd Bayless","MIN","G",FALSE,FALSE,TRUE,34,19.3,1.6,40.2,0.8,29.6,0.5,57.1,23.9,41.6,26.8,3.3,5.7,0.9,2.8,0.5,0.5,3.5,0.1,0.3,1.5,0.967435014372211,-1.26964636617988,2.02189336458598,1.17446364808254,FALSE,""
"191","Jevon Carter","MEM","G",FALSE,FALSE,TRUE,39,14.8,0.6,26.5,0.9,33.3,0.7,81.3,10.5,59.3,15.1,2.4,2.1,1.3,2.7,0.7,0.7,1.8,0.3,0.4,1.3,2.8663424706212,-1.59703486487034,1.71885305055827,0.930724339154727,FALSE,""
"192","Jimmer Fredette","PHX","G",FALSE,FALSE,TRUE,6,10.8,1.3,50,0,0,1,100,18.2,0,54.5,2,11,0.5,1.3,0.7,0.5,1.3,0,0.2,1,-2.17574764530233,-0.365408257509649,3.19481921793806,1.43045822153214,FALSE,""
"193","Jimmy Butler","PHI","G-F",FALSE,TRUE,TRUE,65,33.6,5.4,49.6,1,35.5,4.8,85.5,13.8,16.5,44,5.9,2.5,3,7.5,1.4,1.9,4,0.6,1.9,3.4,-0.459427410603127,2.87606846410194,-3.82600705123333,2.08301760840739,FALSE,""
"194","JJ Redick","PHI","G",FALSE,FALSE,TRUE,76,31.3,2.8,49.9,3.1,39.7,3,89.4,19.5,52.5,11.4,4,3.1,0.7,4.7,0.7,0.4,2.7,0.2,0.3,2.2,3.17058205835234,2.11812305928116,1.37449110208729,0.350950809434056,FALSE,""
"195","Joakim Noah","MEM","C",TRUE,FALSE,FALSE,42,16.5,2.6,51.9,0,0,1.9,71.6,2.7,0,71.1,3.7,-6.1,0.9,5.7,0.6,0.5,2.1,0.7,1.4,4.3,-3.73953353682905,-0.729129944527022,-0.160903626472918,-1.59163445754329,FALSE,""
"196","Jodie Meeks","TOR","G",FALSE,FALSE,TRUE,8,13,1.6,61.9,1,44.4,0.1,100,7.8,47.1,43.1,2.1,17.8,0.5,1.4,0.3,0.1,1,0.1,0.1,1.4,1.02206078882591,-0.140709116643403,3.95078168815844,1.06033850837551,FALSE,""
"197","Joe Harris","BKN","F-G",FALSE,TRUE,TRUE,76,30.2,2.5,52.8,2.4,47.4,1.4,82.7,2.7,52.7,34,4.8,0.5,0.7,7.4,1,0.5,2.4,0.2,0.7,3.1,2.03048183100222,0.511062014538152,0.0557587152571347,-0.20603368772622,FALSE,""
"198","Joe Ingles","UTA","F",FALSE,TRUE,FALSE,82,31.3,2.1,54,2.3,39.3,1.1,70.7,2.8,57,31.4,4.7,2.1,2.6,4.8,1,1.2,5.7,0.2,0.4,3.6,1.62910455480701,-0.242876907188665,-1.37113721525087,2.70786846640743,FALSE,""
