"","PROVINCE / LGU","economic_dynamism","government","infrastructure","resiliency","cluster"
"278","Cabadbaran",4.9849,7.9125,6.0686,12.1833,2
"279","Cabagan",2.8577,10.379,6.5242,13.3594,2
"280","Cabanatuan",5.5625,8.0391,6.8024,12.0181,2
"281","Cabangan",4.703,8.854,5.3985,13.4594,2
"282","Cabanglasan",6.0915,9.5748,5.1945,13.4103,2
"283","Cabarroguis",6.3066,10.372,6.3376,13.4175,2
"284","Cabatuan (IA)",5.1837,9.3698,6.3209,13.4866,2
"285","Cabatuan (IO)",5.0185,9.5791,5.9778,13.7346,2
"286","Cabiao",3.7078,9.1125,5.599,13.3535,1
"287","Cabucgayan",5.9926,9.6563,6.1285,12.9277,2
"288","Cabugao",4.7586,9.6803,5.4058,13.5071,2
"289","Cabusao",3.3576,6.1424,5.0631,12.6366,1
"290","Cabuyao",8.8742,10.5618,8.3131,14.1612,4
"291","Cadiz",4.0553,9.744,6.3263,11.7072,2
"292","Cagayan De Oro",6.812,11.5028,9.4422,18.008,4
"293","Cagayancillo",4.0328,5.7563,2.0322,11.3502,3
"294","Cagdianao",5.0442,9.9322,4.1168,12.9669,2
"295","Cagwait",6.1153,10.0749,5.506,13.4305,2
"296","Caibiran",6.5854,9.8029,6.0846,11.7348,2
"297","Cainta",12.8121,13.7738,9.6672,14.1275,4
"298","Cajidiocan",4.963,5.8915,5.379,12.4431,1
"299","Calabanga",2.9709,8.4366,4.9739,12.7174,1
"300","Calaca",5.6663,9.2479,5.531,13.259,2
"301","Calamba (LA)",9.3722,10.0417,9.1331,14.0486,4
"302","Calamba (MC)",7.8261,10.5751,6.7623,13.4118,4
"303","Calanasan",3.8753,7.6625,3.6602,12.0496,1
"304","Calanogas",3.5602,10.2685,5.0853,13.2976,2
"305","Calapan",6.5093,10.7023,8.4448,18.3055,4
"306","Calape",6.7394,9.4735,5.8637,12.2185,2
"307","Calasiao",5.6498,10.6644,6.286,14.2672,2
"308","Calatagan",3.9648,6.4658,4.1105,13.3483,1
"309","Calatrava (NO)",3.8022,7.926,4.1738,11.2144,1
"310","Calatrava (RN)",4.5338,9.9275,5.2219,12.9204,2
"311","Calauag",3.9048,7.2463,5.527,12.1531,1
"312","Calauan",4.3005,6.9171,5.0959,13.134,1
"313","Calayan",4.5849,6.6416,5.4329,11.0364,1
"314","Calbayog",4.2922,9.0102,6.4975,13.4905,2
"315","Calbiga",3.9335,8.5081,4.5544,13.4664,1
"316","Calinog",4.5666,9.4849,5.2818,13.3722,2
"317","Calintaan",5.1658,5.8595,4.4575,13.4033,1
"318","Caloocan",5.0511,12.4574,6.5503,14.4174,2
"319","Calumpit",5.3581,4.4215,4.2612,11.3109,3
"320","Caluya",4.577,5.5113,3.8301,12.5414,1
"321","Camalaniugan",4.4271,10.4763,5.7587,13.6835,2
"322","Camalig",2.8423,8.7192,5.3121,12.1103,1
"323","Camaligan",3.4222,9.7592,6.2453,10.9594,1
"324","Camiling",4.25,8.3723,5.9388,13.464,2
"325","Can-Avid",6.329,10.0533,5.3158,13.6937,2
"326","Canaman",2.9849,9.7245,5.7409,12.8684,1
"327","Candaba",3.6847,9.2827,5.4013,13.2319,1
"328","Candelaria (QN)",5.5016,10.8884,6.8716,13.393,2
"329","Candelaria (ZA)",4.2516,9.3382,5.5158,13.3273,2
"330","Candijay",5.4916,6.9242,6.0057,13.7117,2
"331","Candon",5.9955,9.8423,5.6469,14.2922,2
"332","Candoni",3.588,7.6506,3.6686,13.3912,1
"333","Canlaon",4.2526,7.2373,4.3921,11.8859,1
"334","Cantilan",5.7082,7.9298,4.9249,9.0639,3
"335","Caoayan",5.0374,10.1709,5.6401,14.266,2
"336","Capalonga",3.7615,7.6144,3.7876,11.8033,1
"337","Capas",5.188,9.8078,6.5357,13.3097,2
"338","Capoocan",3.933,7.4632,4.5817,10.5068,1
"339","Capul",3.7416,7.9184,5.611,8.8039,3
"340","Caraga",4.4156,9.0424,4.7957,13.3379,1
"341","Caramoan",2.234,6.9758,3.2589,12.0839,1
"342","Caramoran",2.8,8.7351,4.9856,10.1047,1
"343","Carasi",3.3962,9.195,4.8217,12.7096,1
"344","Carcar",4.6121,8.9104,5.5017,13.4758,2
"345","Cardona",4.9392,10.3604,5.7179,14.2755,2
"346","Carigara",5.0765,8.7521,5.551,11.8058,2
"347","Carles",4.1671,9.2958,5.4708,11.8878,1
"348","Carmen (AN)",5.4285,9.1658,5.6488,12.9781,2
"349","Carmen (BL)",5.2815,9.4166,4.7991,15.1789,2
"350","Carmen (CU)",7.0132,6.0996,5.7753,11.568,1
"351","Carmen (DN)",5.736,11.2438,5.768,14.2125,2
"352","Carmen (NC)",3.5607,9.1445,5.5576,13.5009,1
"353","Carmen (SS)",6.4498,9.6075,6.2914,12.2546,2
"354","Carmona",9.8337,11.3744,7.7039,13.7066,4
"355","Carranglan",2.9395,7.3959,5.4171,13.397,1
"356","Carrascal",6.9475,8.3707,3.3694,12.8249,2
"357","Casiguran (AU)",4.0154,7.8418,4.968,11.249,1
"358","Casiguran (SO)",3.7883,6.2528,4.7586,12.8134,1
"359","Castilla",4.8366,10.26,6.1227,13.2994,2
"360","Castillejos",6.5818,10.0392,6.7386,13.6892,2
"361","Cataingan",4.5194,9.2254,5.0006,13.3917,2
"362","Catanauan",4.0433,5.9046,3.0645,12.8718,1
"363","Catarman (CM)",8.2221,11.8774,7.5592,14.5602,4
"364","Catarman (NS)",5.4907,4.5445,5.9841,13.0351,1
"365","Catbalogan",4.2478,9.2907,5.9304,11.3142,1
"366","Cateel",4.4304,8.7703,5.1274,12.0113,1
"367","Catigbian",7.5312,9.9788,5.9803,13.5116,2
"368","Catmon",5.6528,5.8641,5.3197,13.4515,1
"369","Catubig",3.3087,5.8271,4.6825,12.5356,1
"370","Cauayan (IA)",3.8258,9.2419,6.4471,13.5117,2
"371","Cauayan (NO)",3.1524,8.6081,4.4028,11.1669,1
"372","Cavinti",4.4485,9.3129,5.6625,13.6339,2
"373","Cavite",3.7068,8.3916,6.9768,13.6046,2
"374","Cawayan",4.2932,6.5221,4.0229,10.7606,1
"375","Cebu",8.0049,11.7988,8.5319,12.1804,4
"376","Cervantes",5.1244,9.2947,5.3478,13.7892,2
"377","Clarin (BL)",6.2713,11.3622,6.4757,12.203,2
"378","Clarin (MC)",4.5378,6.9038,5.9858,11.5664,1
"379","Claver",5.4688,10.0862,6.0438,13.8178,2
"380","Claveria (CG)",5.379,9.9753,5.1868,12.2871,2
"381","Claveria (MO)",5.3309,8.4058,5.3676,13.3057,2
"382","Claveria (MS)",4.0801,6.2156,3.0339,12.4735,1
"383","Columbio",4.4899,8.7374,4.2066,13.3912,1
"384","Compostela (CU)",8.2834,7.8623,5.9528,13.6074,2
"385","Compostela (CV)",5.677,9.9277,7.9063,13.6451,2
"386","Concepcion",3.5889,6.8646,3.0517,11.4682,1
"387","Concepcion (RN)",4.4274,7.1277,3.1874,10.8241,1
"388","Concepcion (TC)",4.1936,9.7085,6.8324,11.9094,2
"389","Conner",4.2917,8.9098,3.7199,13.3832,1
"390","Consolacion",6.7528,6.5713,6.6233,13.6233,2
"391","Corcuera",3.641,8.9437,2.2949,12.9772,1
"392","Cordon",4.6983,9.6324,6.0712,13.5076,2
"393","Cordova",7.2675,9.418,6.4694,13.7705,2
"394","Corella",6.4716,10.3907,6.5795,13.5004,2
"395","Coron",5.4108,8.1159,5.8477,12.6,2
"396","Cortes (BL)",5.8592,9.6095,6.3533,8.7823,2
"397","Cortes (SS)",4.9289,8.6754,4.7748,12.6111,1
"398","Cuartero",5.2609,9.024,6.0125,12.1795,2
"399","Cuenca",7.3547,6.4285,5.8681,12.1578,2
"400","Culaba",5.4357,6.5498,5.4787,10.2824,1
"401","Culasi",5.8735,9.209,6.3815,13.1756,2
"402","Culion",5.4049,7.2824,4.951,13.4325,1
"403","Currimao",4.2696,9.2207,5.5324,13.5065,2
"404","Cuyapo",3.3338,8.4941,5.9019,13.1503,1
"405","Cuyo",5.0255,5.9634,5.4719,12.0179,1
"406","Daet",5.1578,8.961,8.5587,11.8145,2
"407","Dagami",4.8451,6.815,5.2083,7.7798,3
"408","Dagohoy",6.3415,7.5367,5.3911,12.7873,2
"409","Daguioman",3.7789,3.5092,4.7694,12.7286,1
"410","Dagupan",6.5257,12.6885,8.2775,14.2655,4
"411","Dalaguete",5.3843,9.4063,5.2989,13.3656,2
"412","Damulog",5.8404,9.2879,4.9052,13.5332,2
"413","Danao (BL)",5.2874,8.6457,5.1474,11.8124,1
"414","Danao (CU)",6.6347,8.8334,5.8817,12.2594,2
"415","Dangcagan",5.0037,9.3231,5.2294,12.2021,2
"416","Danglas",4.4027,9.3551,5.4555,12.9302,2
"417","Dao",4.8503,9.7521,5.7773,11.5109,2
"418","Dapa",6.1709,7.1909,6.2872,11.8717,2
"419","Dapitan",5.2165,8.0748,5.5107,13.4395,2
"420","Cotabato",5.7185,12.0127,8.5138,13.9656,4
"421","Daraga",3.7577,9.8264,6.0365,14.0619,2
"422","Daram",4.3448,8.7021,4.6839,13.7632,1
"423","Dasmarinas",12.3205,12.5895,9.821,14.2077,4
"424","Dasol",6.0797,9.8906,5.0426,13.5215,2
"425","Datu Abdullah Sangki",4.5551,11.4246,5.3627,13.8193,2
"426","Datu Anggal Midtimbang",3.1523,8.4929,5.8291,12.7111,1
"427","Datu Blah TSinsuat",3.3817,2.8555,4.0511,7.8777,3
"428","Datu Hoffer Ampatuan",3.3928,8.029,3.2278,10.8755,1
"429","Datu Odin Sinsuat",3.0552,8.7704,4.2903,12.1645,1
"430","Datu Paglas",5.5329,9.6629,4.6426,13.5005,2
"431","Datu Piang",3.2082,7.0856,4.3405,10.4553,1
"432","Datu Salibo",3.7386,6.4415,5.4571,11.5556,1
"433","Datu Saudi-Ampatuan",3.5773,6.8816,3.9337,12.7771,1
"434","Datu Unsay",3.5725,7.6165,4.8694,7.769,3
"435","Dauin",6.6433,7.5526,3.4499,12.2946,1
"436","Dauis",6.549,9.045,5.683,10.8951,2
"437","Davao",10.5196,15.4591,11.4187,15.3406,4
"438","Del Carmen",7.2687,10.6558,7.0893,13.7106,4
"439","Del Gallego",2.8669,8.2527,3.8229,13.2579,1
"440","Delfin Albano",3.3612,10.036,4.6577,13.301,1
